1,21, 8,15,23
2,10, 7,13,36
3,8, 30,80,37
4,6, 15,19,17
5,8,  6,23,20
6,12, 16,4,10
7,12,40,18,17
8,7, 17,25,10
9,14,12,14,17
10,9,23,30
11,8,20,19
12,8,14,11
